,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,Laptime,compound_MEDIUM,compound_SOFT,makeStopPred
289,26.0,4.0,1,1,3.0,37.0,0,7.0,49.4,17.0,89.347,94.403,6.0,2022,48.0,87.156,1,0,0
232,35.0,7.0,1,1,2.0,22.8,0,56.7,33.6,2.0,81.571,81.407,1.0,2021,42.0,81.468,1,0,0
86,21.0,24.0,0,1,1.0,20.8,0,55.2,41.2,1.0,87.854,83.041,2.0,2019,27.0,82.386,0,1,0
59,60.0,35.0,1,1,2.0,16.7,0,50.4,32.4,1.0,84.438,80.006,1.0,2018,66.0,81.819,1,0,0
240,43.0,7.0,0,1,3.0,22.4,0,59.2,32.5,3.0,82.683,82.735,1.0,2021,66.0,99.613,1,0,0
172,41.0,18.0,1,1,2.0,29.5,0,58.0,44.8,1.0,84.459,83.334,1.0,2020,50.0,82.438,1,0,0
47,48.0,23.0,1,1,2.0,16.8,1,49.9,32.3,1.0,83.004,81.942,1.0,2018,66.0,80.2,1,0,0
19,20.0,21.0,0,1,1.0,15.8,1,53.8,30.8,1.0,84.331,81.993,1.0,2018,25.0,81.334,0,1,0
191,60.0,10.0,1,1,3.0,30.1,0,57.2,47.8,1.0,82.003,82.184,1.0,2020,66.0,81.223,1,0,0
108,43.0,16.0,1,1,2.0,20.1,0,52.9,39.6,1.0,85.006,82.461,2.0,2019,46.0,81.891,1,0,0
62,63.0,38.0,1,1,2.0,17.1,0,49.6,31.6,1.0,83.323,80.058,1.0,2018,66.0,79.822,1,0,0
26,27.0,2.0,1,1,2.0,15.8,1,53.7,29.3,2.0,81.037,82.008,1.0,2018,66.0,80.131,1,0,0
228,31.0,3.0,1,1,2.0,22.9,0,55.8,34.6,2.0,82.714,82.391,1.0,2021,42.0,81.204,1,0,0
217,20.0,24.0,0,1,1.0,22.4,0,57.1,32.2,2.0,83.362,83.963,1.0,2021,28.0,83.559,0,1,0
114,49.0,6.0,0,4,3.0,19.7,0,52.0,39.4,1.0,85.729,132.766,2.0,2019,66.0,134.091,0,1,0
97,32.0,5.0,1,1,2.0,20.8,0,52.5,40.6,1.0,110.949,82.118,2.0,2019,46.0,82.286,1,0,0
129,64.0,21.0,0,1,3.0,20.4,0,50.8,39.1,1.0,83.372,79.912,2.0,2019,66.0,79.771,0,1,0
