LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Humidity,Rainfall,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
01:12.092,41,HARD,28.0,True,1,3,20.7,33.0,False,33.2,13,alonso,1:17.446,russell,1:16.346,11.0,44
01:12.112,42,HARD,29.0,True,1,3,20.6,33.0,False,33.1,13,alonso,1:17.602,latifi,1:34.200,11.0,44
01:11.578,43,HARD,30.0,True,1,3,20.7,34.0,False,33.8,13,raikkonen,1:21.460,latifi,1:21.902,11.0,44
01:14.955,44,HARD,31.0,True,1,3,20.8,33.0,False,34.3,12,raikkonen,1:17.657,russell,1:16.812,11.0,70
01:28.052,45,HARD,32.0,True,1,3,20.9,33.0,False,34.3,12,raikkonen,1:21.927,russell,1:16.131,11.0,70
01:11.262,46,HARD,33.0,True,1,3,21.0,32.0,False,34.1,12,raikkonen,1:16.697,russell,1:16.185,11.0,70
01:10.622,47,HARD,34.0,True,1,3,21.0,33.0,False,34.1,12,raikkonen,1:16.045,russell,1:16.379,11.0,70
01:10.281,48,HARD,35.0,True,1,3,21.1,32.0,False,34.3,12,raikkonen,1:16.304,russell,1:16.446,11.0,70
01:10.233,49,HARD,36.0,True,1,3,20.9,32.0,False,34.4,12,raikkonen,1:16.036,russell,1:16.659,11.0,70
01:10.183,50,HARD,37.0,True,1,3,20.8,33.0,False,34.4,12,raikkonen,1:16.163,russell,1:17.078,11.0,70
01:10.167,51,HARD,38.0,True,1,3,20.8,32.0,False,34.0,12,raikkonen,1:15.411,russell,1:16.879,11.0,70
01:10.492,52,HARD,39.0,True,1,3,20.9,33.0,False,33.8,12,raikkonen,1:15.025,russell,1:19.146,11.0,70
01:10.325,53,HARD,40.0,True,1,3,20.9,32.0,False,32.6,12,raikkonen,1:15.165,russell,1:17.259,11.0,70
01:10.573,54,HARD,41.0,True,1,3,20.9,32.0,False,32.3,12,raikkonen,1:14.971,russell,1:16.727,11.0,70
01:11.527,55,HARD,42.0,True,1,3,20.8,32.0,False,31.9,12,raikkonen,1:15.288,russell,1:23.427,11.0,70
01:10.396,56,HARD,43.0,True,2,3,20.6,32.0,False,31.8,12,raikkonen,1:15.588,russell,1:17.148,11.0,70
01:23.752,57,HARD,44.0,True,26,3,20.3,33.0,False,31.8,12,raikkonen,1:15.130,russell,1:15.964,11.0,70
01:34.647,58,HARD,45.0,True,6,3,20.3,33.0,False,31.5,12,raikkonen,1:15.311,russell,1:15.539,11.0,70
01:13.658,59,HARD,46.0,True,67,3,20.4,34.0,False,31.2,12,raikkonen,1:15.479,russell,1:15.929,11.0,70
01:10.158,60,HARD,47.0,True,1,3,20.2,35.0,False,30.9,12,raikkonen,1:15.691,russell,1:15.759,11.0,70
01:09.924,61,HARD,48.0,True,1,3,20.3,35.0,False,31.2,12,raikkonen,1:15.922,russell,1:15.695,11.0,70
01:11.386,62,HARD,49.0,True,1,3,20.4,35.0,False,31.1,12,raikkonen,1:16.950,russell,1:15.705,11.0,70
01:11.606,63,HARD,50.0,True,1,3,20.4,35.0,False,30.8,12,raikkonen,1:20.815,latifi,1:15.968,11.0,70
01:10.202,64,HARD,51.0,True,1,3,20.5,33.0,False,30.8,12,raikkonen,1:16.494,latifi,1:16.173,11.0,70
01:10.659,65,HARD,52.0,True,1,3,20.2,34.0,False,30.4,12,raikkonen,1:18.290,latifi,1:15.573,11.0,70
01:10.598,66,HARD,53.0,True,1,3,20.0,34.0,False,30.6,12,raikkonen,1:17.937,latifi,1:15.984,11.0,70
01:10.834,67,HARD,54.0,True,1,3,19.8,34.0,False,30.6,12,raikkonen,1:17.236,latifi,1:16.006,11.0,70
01:10.721,68,HARD,55.0,True,1,3,19.9,34.0,False,30.6,12,raikkonen,1:17.242,latifi,1:16.048,11.0,70
01:10.454,69,HARD,56.0,True,1,3,19.9,34.0,False,30.8,12,raikkonen,1:16.919,latifi,1:15.961,11.0,70
01:10.182,70,HARD,57.0,True,1,3,20.0,34.0,False,31.4,12,raikkonen,1:16.521,latifi,1:16.211,11.0,70
