LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
95.077,40.0,22.0,1,2,2.0,vettel,0,28.0,0,47.4,31.8,1.0,96.048,95.385,1.0,2018,56.0,0,0,1,0
94.985,41.0,23.0,1,2,2.0,vettel,0,28.1,0,47.7,31.7,1.0,116.951,94.874,1.0,2018,56.0,0,0,1,0
95.078,42.0,24.0,1,1,2.0,vettel,0,27.9,0,48.3,31.7,1.0,94.563,95.186,1.0,2018,56.0,0,0,1,0
95.141,43.0,25.0,1,1,2.0,vettel,0,27.9,0,48.3,31.7,1.0,94.646,95.744,1.0,2018,56.0,0,0,1,0
95.482,44.0,26.0,1,1,2.0,vettel,0,28.0,0,49.9,31.9,1.0,95.005,94.546,1.0,2018,56.0,0,0,1,0
95.437,45.0,27.0,1,1,2.0,vettel,0,27.9,0,50.8,31.4,1.0,94.981,94.632,1.0,2018,56.0,0,0,1,0
95.019,46.0,28.0,1,1,2.0,vettel,0,27.6,0,52.5,31.1,1.0,95.356,94.491,1.0,2018,56.0,0,0,1,0
95.266,47.0,29.0,1,1,2.0,vettel,0,27.6,0,52.5,31.1,1.0,95.397,95.188,1.0,2018,56.0,0,0,1,0
95.302,48.0,30.0,1,1,2.0,vettel,0,27.6,0,52.8,31.1,1.0,95.381,94.733,1.0,2018,56.0,0,0,1,0
95.334,49.0,31.0,1,1,2.0,vettel,0,27.5,0,52.9,31.1,1.0,95.636,95.198,1.0,2018,56.0,0,0,1,0
95.406,50.0,32.0,1,1,2.0,vettel,0,27.6,0,52.3,31.3,1.0,95.674,94.648,1.0,2018,56.0,0,0,1,0
95.412,51.0,33.0,1,1,2.0,vettel,0,27.5,0,52.3,31.2,1.0,96.274,94.046,1.0,2018,56.0,0,0,1,0
95.805,52.0,34.0,1,1,2.0,vettel,0,27.5,0,52.1,31.3,1.0,96.686,94.599,1.0,2018,56.0,0,0,1,0
95.778,53.0,35.0,1,1,2.0,vettel,0,27.5,0,52.1,31.3,1.0,96.379,94.622,1.0,2018,56.0,0,0,1,0
95.947,54.0,36.0,1,1,2.0,vettel,0,27.5,0,52.1,31.3,1.0,98.146,95.428,1.0,2018,56.0,0,0,1,0
96.625,55.0,37.0,1,1,2.0,vettel,0,27.6,0,51.6,31.4,1.0,97.068,95.614,1.0,2018,56.0,0,0,1,0
97.033,56.0,38.0,1,1,2.0,vettel,0,27.6,0,51.2,31.3,1.0,96.082,96.364,1.0,2018,56.0,0,0,1,0
101.541,2.0,4.0,0,26,1.0,bottas,1,28.1,0,45.7,33.3,2.0,100.505,103.586,3.0,2018,19.0,0,0,0,1
129.303,3.0,5.0,0,6,1.0,bottas,0,28.3,0,45.1,33.3,2.0,130.679,128.006,3.0,2018,19.0,0,0,0,1
116.756,4.0,6.0,0,67,1.0,bottas,0,28.3,0,44.7,33.3,2.0,116.055,117.964,3.0,2018,19.0,0,0,0,1
96.329,5.0,7.0,0,2,1.0,bottas,0,28.2,0,44.9,33.0,2.0,95.721,95.096,3.0,2018,19.0,0,0,0,1
95.692,6.0,8.0,0,2,1.0,bottas,0,28.2,0,44.9,33.1,2.0,95.369,95.755,3.0,2018,19.0,0,0,0,1
95.756,7.0,9.0,0,1,1.0,bottas,0,28.2,0,44.9,33.1,2.0,95.521,95.804,3.0,2018,19.0,0,0,0,1
