LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_WET
84.322,36.0,8.0,1,1,2.0,hamilton,0,22.1,0,66.4,31.7,2.0,84.236,88.735,3.0,2018,53.0,0,0,0,1,0,0
84.024,37.0,9.0,1,1,2.0,hamilton,0,22.2,0,66.1,32.1,2.0,84.239,84.084,3.0,2018,53.0,0,0,0,1,0,0
83.894,38.0,10.0,1,1,2.0,hamilton,0,22.5,0,65.6,33.2,2.0,83.854,83.781,3.0,2018,53.0,0,0,0,1,0,0
83.757,39.0,11.0,1,1,2.0,hamilton,0,22.6,0,64.5,33.7,2.0,83.936,83.633,3.0,2018,53.0,0,0,0,1,0,0
84.116,40.0,12.0,1,1,2.0,hamilton,0,22.8,0,64.3,34.0,2.0,83.097,83.691,3.0,2018,53.0,0,0,0,1,0,0
83.768,41.0,13.0,1,1,2.0,hamilton,0,22.9,0,63.4,34.1,2.0,83.897,83.609,3.0,2018,53.0,0,0,0,1,0,0
84.423,42.0,14.0,1,1,2.0,hamilton,0,23.0,0,62.7,34.4,2.0,84.652,84.171,3.0,2018,53.0,0,0,0,1,0,0
84.031,43.0,15.0,1,1,2.0,hamilton,0,22.8,0,62.6,33.7,2.0,84.249,84.083,3.0,2018,53.0,0,0,0,1,0,0
84.392,44.0,16.0,1,1,2.0,hamilton,0,22.9,0,61.9,33.5,2.0,84.583,83.762,3.0,2018,53.0,0,0,0,1,0,0
83.711,45.0,17.0,1,1,2.0,hamilton,0,22.8,0,61.1,33.3,1.0,85.738,86.019,3.0,2018,53.0,0,0,0,1,0,0
83.512,46.0,18.0,1,1,2.0,hamilton,0,22.9,0,58.2,33.1,1.0,85.692,84.985,3.0,2018,53.0,0,0,0,1,0,0
83.759,47.0,19.0,1,1,2.0,hamilton,0,22.7,0,57.1,32.7,1.0,85.903,84.722,3.0,2018,53.0,0,0,0,1,0,0
83.776,48.0,20.0,1,1,2.0,hamilton,0,22.5,0,56.0,32.8,1.0,85.938,84.857,3.0,2018,53.0,0,0,0,1,0,0
84.251,49.0,21.0,1,1,2.0,hamilton,0,22.7,0,55.0,33.0,1.0,86.795,85.298,3.0,2018,53.0,0,0,0,1,0,0
84.534,50.0,22.0,1,1,2.0,hamilton,0,22.6,0,53.2,33.1,1.0,86.587,85.351,3.0,2018,53.0,0,0,0,1,0,0
84.525,51.0,23.0,1,1,2.0,hamilton,0,22.6,0,53.5,33.3,1.0,88.017,85.075,3.0,2018,53.0,0,0,0,1,0,0
85.368,52.0,24.0,1,1,2.0,hamilton,0,22.8,0,52.9,34.0,1.0,87.303,85.655,3.0,2018,53.0,0,0,0,1,0,0
86.125,53.0,25.0,1,1,2.0,hamilton,0,22.7,0,51.9,33.6,1.0,85.023,86.833,3.0,2018,53.0,0,0,0,1,0,0
129.263,3.0,4.0,0,74,1.0,raikkonen,1,21.9,0,65.9,30.5,1.0,116.316,127.904,1.0,2018,20.0,0,0,0,0,1,0
85.439,4.0,5.0,0,1,1.0,raikkonen,0,22.2,0,64.3,30.9,1.0,96.469,86.009,1.0,2018,20.0,0,0,0,0,1,0
84.871,5.0,6.0,0,1,1.0,raikkonen,0,22.3,0,63.7,30.9,1.0,122.479,85.027,1.0,2018,20.0,0,0,0,0,1,0
84.859,6.0,7.0,0,1,1.0,raikkonen,0,22.3,0,64.0,30.4,1.0,87.155,84.827,1.0,2018,20.0,0,0,0,0,1,0
84.538,7.0,8.0,0,1,1.0,raikkonen,0,22.3,0,64.3,30.4,1.0,87.942,84.751,1.0,2018,20.0,0,0,0,0,1,0
84.631,8.0,9.0,0,1,1.0,raikkonen,0,22.4,0,64.0,30.4,1.0,87.028,84.557,1.0,2018,20.0,0,0,0,0,1,0
84.005,9.0,10.0,0,1,1.0,raikkonen,0,22.5,0,64.3,30.4,1.0,88.106,84.349,1.0,2018,20.0,0,0,0,0,1,0
84.686,10.0,11.0,0,1,1.0,raikkonen,0,22.5,0,64.1,30.4,1.0,87.163,84.918,1.0,2018,20.0,0,0,0,0,1,0
84.782,11.0,12.0,0,1,1.0,raikkonen,0,22.5,0,63.7,30.3,1.0,88.595,84.823,1.0,2018,20.0,0,0,0,0,1,0
84.978,12.0,13.0,0,1,1.0,raikkonen,0,22.2,0,64.9,30.2,1.0,87.199,84.839,1.0,2018,20.0,0,0,0,0,1,0
84.648,13.0,14.0,0,1,1.0,raikkonen,0,22.2,0,64.6,30.1,1.0,87.242,84.709,1.0,2018,20.0,0,0,0,0,1,0
84.512,14.0,15.0,0,1,1.0,raikkonen,0,22.1,0,64.8,30.1,1.0,87.099,84.666,1.0,2018,20.0,0,0,0,0,1,0
