LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
80.425,45.0,20.0,1,1,2.0,hamilton,0,16.1,1,52.4,33.0,1.0,82.971,79.944,1.0,2018,66.0,0,1,0,0
80.621,46.0,21.0,1,1,2.0,hamilton,0,16.2,1,52.4,33.4,1.0,86.038,80.024,1.0,2018,66.0,0,1,0,0
79.766,47.0,22.0,1,1,2.0,hamilton,0,16.7,1,51.6,34.3,1.0,83.805,80.381,1.0,2018,66.0,0,1,0,0
80.002,48.0,23.0,1,1,2.0,hamilton,0,16.8,1,49.9,32.3,1.0,83.004,81.942,1.0,2018,66.0,0,1,0,0
79.983,49.0,24.0,1,1,2.0,hamilton,0,16.8,1,49.7,31.9,1.0,84.499,79.828,1.0,2018,66.0,0,1,0,0
79.902,50.0,25.0,1,1,2.0,hamilton,0,15.8,1,50.7,31.2,1.0,84.778,80.492,1.0,2018,66.0,0,1,0,0
79.634,51.0,26.0,1,1,2.0,hamilton,0,15.9,1,51.5,31.1,1.0,85.045,79.924,1.0,2018,66.0,0,1,0,0
79.984,52.0,27.0,1,1,2.0,hamilton,0,15.8,1,51.2,31.4,1.0,83.155,79.987,1.0,2018,66.0,0,1,0,0
79.831,53.0,28.0,1,1,2.0,hamilton,0,15.9,1,51.6,30.7,1.0,82.754,80.092,1.0,2018,66.0,0,1,0,0
80.007,54.0,29.0,1,1,2.0,hamilton,0,16.0,1,51.7,30.7,1.0,85.471,79.946,1.0,2018,66.0,0,1,0,0
79.086,55.0,30.0,1,1,2.0,hamilton,0,16.2,1,51.5,31.7,1.0,82.829,79.837,1.0,2018,66.0,0,1,0,0
79.811,56.0,31.0,1,1,2.0,hamilton,0,16.1,1,51.8,33.2,1.0,82.886,79.478,1.0,2018,66.0,0,1,0,0
79.443,57.0,32.0,1,1,2.0,hamilton,0,16.5,1,51.0,33.2,1.0,82.068,79.094,1.0,2018,66.0,0,1,0,0
79.488,58.0,33.0,1,1,2.0,hamilton,0,16.7,1,50.4,33.2,1.0,82.689,80.098,1.0,2018,66.0,0,1,0,0
79.614,59.0,34.0,1,1,2.0,hamilton,0,16.9,0,49.5,32.9,1.0,88.346,80.169,1.0,2018,66.0,0,1,0,0
81.819,60.0,35.0,1,1,2.0,hamilton,0,16.7,0,50.4,32.4,1.0,84.438,80.006,1.0,2018,66.0,0,1,0,0
80.047,61.0,36.0,1,1,2.0,hamilton,0,16.8,0,50.2,32.3,1.0,82.702,79.819,1.0,2018,66.0,0,1,0,0
79.152,62.0,37.0,1,1,2.0,hamilton,0,17.0,0,50.1,32.3,1.0,84.779,79.872,1.0,2018,66.0,0,1,0,0
79.822,63.0,38.0,1,1,2.0,hamilton,0,17.1,0,49.6,31.6,1.0,83.323,80.058,1.0,2018,66.0,0,1,0,0
