LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_ULTRASOFT
68.873,44,29.0,1,1,2.0,max_verstappen,0,22.9,0,36.1,45.4,1.0,69.044,68.543,4.0,2018,71,0,0,1,0,0
68.371,45,30.0,1,1,2.0,max_verstappen,0,22.5,0,36.8,45.5,1.0,69.636,68.215,4.0,2018,71,0,0,1,0,0
68.134,46,31.0,1,1,2.0,max_verstappen,0,22.7,0,36.5,45.0,1.0,69.007,68.248,4.0,2018,71,0,0,1,0,0
68.181,47,32.0,1,1,2.0,max_verstappen,0,22.7,0,36.6,45.1,1.0,69.348,68.569,4.0,2018,71,0,0,1,0,0
68.384,48,33.0,1,1,2.0,max_verstappen,0,22.6,0,37.3,45.2,1.0,69.032,68.374,4.0,2018,71,0,0,1,0,0
68.203,49,34.0,1,1,2.0,max_verstappen,0,22.7,0,37.3,45.2,1.0,69.551,67.871,4.0,2018,71,0,0,1,0,0
68.265,50,35.0,1,1,2.0,max_verstappen,0,23.0,0,35.7,45.2,1.0,69.494,67.696,4.0,2018,71,0,0,1,0,0
68.037,51,36.0,1,1,2.0,max_verstappen,0,23.4,0,36.1,44.8,1.0,69.176,68.263,4.0,2018,71,0,0,1,0,0
67.999,52,37.0,1,1,2.0,max_verstappen,0,23.4,0,35.6,45.1,1.0,69.621,67.799,4.0,2018,71,0,0,1,0,0
68.212,53,38.0,1,1,2.0,max_verstappen,0,23.1,0,36.1,45.2,1.0,70.512,68.019,4.0,2018,71,0,0,1,0,0
68.415,54,39.0,1,2,2.0,max_verstappen,0,23.3,0,36.5,45.2,1.0,69.631,68.084,4.0,2018,71,0,0,1,0,0
68.291,55,40.0,1,2,2.0,max_verstappen,0,23.8,0,36.3,45.3,1.0,70.539,67.991,4.0,2018,71,0,0,1,0,0
68.087,56,41.0,1,2,2.0,max_verstappen,0,24.2,0,34.7,45.4,1.0,70.006,67.782,4.0,2018,71,0,0,1,0,0
68.055,57,42.0,1,2,2.0,max_verstappen,0,24.1,0,34.3,45.0,1.0,69.463,67.896,4.0,2018,71,0,0,1,0,0
67.941,58,43.0,1,2,2.0,max_verstappen,0,24.0,0,34.4,44.8,1.0,69.178,67.039,4.0,2018,71,0,0,1,0,0
67.825,59,44.0,1,1,2.0,max_verstappen,0,23.9,0,35.3,44.9,1.0,69.245,67.743,4.0,2018,71,0,0,1,0,0
67.703,60,45.0,1,1,2.0,max_verstappen,0,24.0,0,35.5,45.0,1.0,69.379,67.443,4.0,2018,71,0,0,1,0,0
67.925,61,46.0,1,1,2.0,max_verstappen,0,24.2,0,35.0,44.9,1.0,69.397,67.649,4.0,2018,71,0,0,1,0,0
67.861,62,47.0,1,1,2.0,max_verstappen,0,24.1,0,35.6,44.8,1.0,69.443,68.252,4.0,2018,71,0,0,1,0,0
67.828,63,48.0,1,2,2.0,max_verstappen,0,23.8,0,34.9,44.8,1.0,68.894,67.724,4.0,2018,71,0,0,1,0,0
68.359,64,49.0,1,2,2.0,max_verstappen,0,23.3,0,36.3,44.6,1.0,69.858,68.071,4.0,2018,71,0,0,1,0,0
68.042,65,50.0,1,2,2.0,max_verstappen,0,23.3,0,37.4,44.6,1.0,84.589,67.802,4.0,2018,71,0,0,1,0,0
67.634,66,51.0,1,1,2.0,max_verstappen,0,23.6,0,38.5,44.5,1.0,69.547,66.975,4.0,2018,71,0,0,1,0,0
67.558,67,52.0,1,1,2.0,max_verstappen,0,23.6,0,39.8,44.4,1.0,69.116,67.471,4.0,2018,71,0,0,1,0,0
67.469,68,53.0,1,1,2.0,max_verstappen,0,23.8,0,39.8,44.6,1.0,69.038,67.286,4.0,2018,71,0,0,1,0,0
67.449,69,54.0,1,1,2.0,max_verstappen,0,24.1,0,38.2,44.9,1.0,71.097,67.293,4.0,2018,71,0,0,1,0,0
67.442,70,55.0,1,1,2.0,max_verstappen,0,24.0,0,36.3,44.9,1.0,70.886,67.217,4.0,2018,71,0,0,1,0,0
70.489,2,4.0,0,2,1.0,raikkonen,1,22.7,0,37.4,47.4,4.0,69.911,70.661,3.0,2018,15,0,0,0,0,1
