LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
01:08.912,37,SOFT,22.0,True,1,2.0,max_verstappen,0,22.9,False,37.7,45.6,1,vandoorne,1:09.915,ricciardo,1:09.178,4.0,2018,71
01:08.815,38,SOFT,23.0,True,1,2.0,max_verstappen,0,23.2,False,37.0,45.7,1,vandoorne,1:09.871,raikkonen,1:09.072,4.0,2018,71
01:08.566,39,SOFT,24.0,True,1,2.0,max_verstappen,0,23.1,False,36.6,45.9,1,vandoorne,1:09.820,raikkonen,1:08.546,4.0,2018,71
01:08.719,40,SOFT,25.0,True,1,2.0,max_verstappen,0,23.4,False,36.9,46.0,1,vandoorne,1:15.660,raikkonen,1:08.395,4.0,2018,71
01:08.713,41,SOFT,26.0,True,1,2.0,max_verstappen,0,23.7,False,35.4,46.1,1,vandoorne,1:28.282,raikkonen,1:08.820,4.0,2018,71
01:08.471,42,SOFT,27.0,True,1,2.0,max_verstappen,0,23.7,False,34.7,46.0,1,vandoorne,1:09.159,raikkonen,1:08.585,4.0,2018,71
01:08.558,43,SOFT,28.0,True,1,2.0,max_verstappen,0,23.5,False,35.0,45.2,1,vandoorne,1:09.303,raikkonen,1:08.348,4.0,2018,71
01:08.873,44,SOFT,29.0,True,1,2.0,max_verstappen,0,22.9,False,36.1,45.4,1,vandoorne,1:09.440,raikkonen,1:08.543,4.0,2018,71
01:08.371,45,SOFT,30.0,True,1,2.0,max_verstappen,0,22.5,False,36.8,45.5,1,vandoorne,1:09.636,raikkonen,1:08.215,4.0,2018,71
01:08.134,46,SOFT,31.0,True,1,2.0,max_verstappen,0,22.7,False,36.5,45.0,1,vandoorne,1:09.700,raikkonen,1:08.248,4.0,2018,71
01:08.181,47,SOFT,32.0,True,1,2.0,max_verstappen,0,22.7,False,36.6,45.1,1,vandoorne,1:09.348,raikkonen,1:08.569,4.0,2018,71
01:08.384,48,SOFT,33.0,True,1,2.0,max_verstappen,0,22.6,False,37.3,45.2,1,vandoorne,1:09.320,raikkonen,1:08.374,4.0,2018,71
01:08.203,49,SOFT,34.0,True,1,2.0,max_verstappen,0,22.7,False,37.3,45.2,1,vandoorne,1:09.551,raikkonen,1:07.871,4.0,2018,71
