LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,makeStop,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
0,1.0,,,,24,,15.3,0,False,54.1,35.0,1,sirotkin,2:15.710,vettel,1:49.029,1.0,2018,25.0
0,2.0,,,,4,,16.0,0,True,52.9,35.0,1,sirotkin,2:29.412,vettel,2:36.045,1.0,2018,25.0
02:12.826,3.0,SOFT,4.0,False,4,1.0,16.3,1,True,51.0,35.6,1,sirotkin,2:14.646,vettel,2:13.906,1.0,2018,25.0
02:08.778,4.0,SOFT,5.0,False,4,1.0,15.9,0,True,52.0,34.0,1,sirotkin,2:13.632,vettel,2:08.681,1.0,2018,25.0
02:10.440,5.0,SOFT,6.0,False,4,1.0,16.1,0,True,52.4,36.2,1,sirotkin,2:07.410,vettel,2:09.827,1.0,2018,25.0
02:13.880,6.0,SOFT,7.0,False,4,1.0,16.7,0,False,51.5,36.6,1,sirotkin,1:59.521,vettel,2:13.232,1.0,2018,25.0
01:22.990,7.0,SOFT,8.0,False,1,1.0,16.4,0,False,50.3,36.7,1,brendon_hartley,1:30.479,vettel,1:23.604,1.0,2018,25.0
01:21.631,8.0,SOFT,9.0,False,1,1.0,16.3,0,False,50.9,36.7,1,brendon_hartley,1:26.554,vettel,1:22.259,1.0,2018,25.0
01:21.386,9.0,SOFT,10.0,False,1,1.0,16.3,0,True,51.4,35.4,1,brendon_hartley,1:25.665,vettel,1:22.475,1.0,2018,25.0
01:21.790,10.0,SOFT,11.0,False,1,1.0,16.2,0,True,51.0,35.1,1,brendon_hartley,1:25.523,vettel,1:22.536,1.0,2018,25.0
01:21.808,11.0,SOFT,12.0,False,1,1.0,16.4,0,True,52.4,35.7,1,brendon_hartley,1:25.151,vettel,1:22.300,1.0,2018,25.0
01:21.810,12.0,SOFT,13.0,False,1,1.0,16.6,0,True,50.7,36.3,1,brendon_hartley,1:24.969,vettel,1:22.875,1.0,2018,25.0
01:21.936,13.0,SOFT,14.0,False,1,1.0,16.5,0,True,50.2,35.8,1,brendon_hartley,1:25.515,vettel,1:22.320,1.0,2018,25.0
01:21.574,14.0,SOFT,15.0,False,1,1.0,16.4,0,True,51.8,33.2,1,brendon_hartley,1:25.890,vettel,1:22.162,1.0,2018,25.0
01:21.778,15.0,SOFT,16.0,False,1,1.0,16.2,0,True,51.6,32.6,1,brendon_hartley,1:24.707,vettel,1:22.231,1.0,2018,25.0
01:21.562,16.0,SOFT,17.0,False,1,1.0,16.1,0,True,51.2,32.5,1,brendon_hartley,1:24.086,vettel,1:22.043,1.0,2018,25.0
01:21.509,17.0,SOFT,18.0,False,1,1.0,16.0,0,True,51.9,31.8,1,brendon_hartley,1:24.194,bottas,1:21.956,1.0,2018,25.0
01:21.328,18.0,SOFT,19.0,False,1,1.0,15.8,0,True,52.8,31.4,1,brendon_hartley,1:24.529,bottas,1:21.485,1.0,2018,25.0
01:21.393,19.0,SOFT,20.0,False,1,1.0,15.9,0,True,52.8,31.1,1,brendon_hartley,1:24.758,bottas,1:24.219,1.0,2018,25.0
01:21.334,20.0,SOFT,21.0,False,1,1.0,15.8,0,True,53.8,30.8,1,brendon_hartley,1:24.331,raikkonen,1:21.993,1.0,2018,25.0
01:21.157,21.0,SOFT,22.0,False,1,1.0,15.9,0,True,53.3,30.6,1,stroll,1:41.230,raikkonen,1:21.963,1.0,2018,25.0
01:20.849,22.0,SOFT,23.0,False,1,1.0,15.7,0,False,52.8,29.7,1,stroll,1:23.280,raikkonen,1:21.946,1.0,2018,25.0
01:21.045,23.0,SOFT,24.0,False,1,1.0,15.7,0,True,53.3,30.2,1,stroll,1:25.187,raikkonen,1:21.531,1.0,2018,25.0
01:21.662,24.0,SOFT,25.0,False,1,1.0,15.7,0,True,53.2,30.2,1,stroll,1:23.537,max_verstappen,1:22.241,1.0,2018,25.0
01:24.565,25.0,SOFT,26.0,False,1,1.0,15.8,0,True,53.5,29.7,1,sirotkin,1:43.641,max_verstappen,1:21.290,1.0,2018,66.0
01:40.689,26.0,MEDIUM,1.0,True,1,2.0,15.8,1,True,53.2,29.6,2,max_verstappen,1:21.192,ricciardo,1:22.592,1.0,2018,66.0
01:20.131,27.0,MEDIUM,2.0,True,1,2.0,15.8,0,True,53.7,29.3,2,max_verstappen,1:21.370,ricciardo,1:22.008,1.0,2018,66.0
01:20.711,28.0,MEDIUM,3.0,True,1,2.0,15.9,0,True,53.3,29.6,2,max_verstappen,1:20.603,ricciardo,1:22.041,1.0,2018,66.0
01:20.713,29.0,MEDIUM,4.0,True,1,2.0,15.7,0,True,53.3,29.6,2,max_verstappen,1:21.396,ricciardo,1:22.459,1.0,2018,66.0
01:21.074,30.0,MEDIUM,5.0,True,1,2.0,15.6,0,True,53.8,29.0,2,max_verstappen,1:21.372,ricciardo,1:21.403,1.0,2018,66.0
01:20.948,31.0,MEDIUM,6.0,True,1,2.0,15.6,0,True,54.5,28.9,2,max_verstappen,1:21.366,ricciardo,1:21.285,1.0,2018,66.0
01:21.600,32.0,MEDIUM,7.0,True,1,2.0,15.7,0,True,54.7,28.9,2,max_verstappen,1:21.232,ricciardo,1:21.312,1.0,2018,66.0
01:21.228,33.0,MEDIUM,8.0,True,1,2.0,15.8,0,True,54.4,28.9,2,max_verstappen,1:21.501,ricciardo,1:24.538,1.0,2018,66.0
01:21.854,34.0,MEDIUM,9.0,True,1,2.0,15.6,0,True,54.0,29.0,1,ocon,1:24.285,max_verstappen,1:24.621,1.0,2018,66.0
01:20.542,35.0,MEDIUM,10.0,True,1,2.0,15.6,0,True,53.4,28.8,1,sirotkin,1:26.513,vettel,1:20.817,1.0,2018,66.0
01:20.359,36.0,MEDIUM,11.0,True,1,2.0,15.8,0,True,53.6,30.3,1,sirotkin,1:23.554,vettel,1:20.830,1.0,2018,66.0
01:21.296,37.0,MEDIUM,12.0,True,1,2.0,15.9,0,True,52.5,30.9,1,sirotkin,1:23.071,vettel,1:21.091,1.0,2018,66.0
01:20.363,38.0,MEDIUM,13.0,True,1,2.0,16.0,0,True,53.2,31.5,1,sirotkin,1:22.756,vettel,1:21.310,1.0,2018,66.0
