LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
01:47.599,42.0,SOFT,20.0,True,1,3.0,17.4,False,38.6,26.2,1,vandoorne,1:49.320,hamilton,1:48.629,2.0,44.0
01:47.615,43.0,SOFT,21.0,True,1,3.0,17.4,False,38.4,25.8,1,vandoorne,1:49.179,hamilton,1:48.860,2.0,44.0
01:49.749,44.0,SOFT,22.0,True,1,3.0,17.0,False,38.8,25.4,1,gasly,1:49.693,hamilton,1:49.806,2.0,44.0
0,1.0,SOFT,4.0,False,24,1.0,17.2,False,58.3,27.7,2,leclerc,2:17.550,hamilton,2:21.040,2.0,15.0
0,2.0,SOFT,5.0,False,4,1.0,17.3,False,56.8,28.2,2,leclerc,2:59.316,hamilton,2:59.080,2.0,15.0
0,3.0,SOFT,6.0,False,4,1.0,17.4,False,56.3,28.6,2,leclerc,3:02.193,hamilton,3:00.668,2.0,15.0
0,4.0,SOFT,7.0,False,4,1.0,17.4,False,55.4,28.2,2,leclerc,2:53.507,hamilton,2:53.126,2.0,15.0
01:50.498,5.0,SOFT,8.0,False,1,1.0,17.4,False,56.7,27.8,2,leclerc,1:49.685,hamilton,1:50.799,2.0,15.0
01:49.840,6.0,SOFT,9.0,False,1,1.0,17.6,False,56.9,27.3,2,leclerc,1:49.558,hamilton,1:50.170,2.0,15.0
01:49.459,7.0,SOFT,10.0,False,1,1.0,17.2,False,56.8,26.6,2,leclerc,1:49.488,hamilton,1:49.960,2.0,15.0
01:49.969,8.0,SOFT,11.0,False,1,1.0,17.4,False,57.5,26.6,2,leclerc,1:49.452,hamilton,1:49.511,2.0,15.0
01:49.986,9.0,SOFT,12.0,False,1,1.0,17.4,False,57.1,26.8,2,leclerc,1:50.091,hamilton,1:49.678,2.0,15.0
01:49.819,10.0,SOFT,13.0,False,1,1.0,17.3,False,57.8,27.1,2,leclerc,1:49.668,hamilton,1:49.858,2.0,15.0
01:49.602,11.0,SOFT,14.0,False,1,1.0,17.2,False,57.9,26.8,2,leclerc,1:49.398,hamilton,1:49.633,2.0,15.0
01:49.237,12.0,SOFT,15.0,False,1,1.0,17.4,False,55.9,27.8,2,leclerc,1:49.004,hamilton,1:49.451,2.0,15.0
01:49.249,13.0,SOFT,16.0,False,1,1.0,17.5,False,56.9,29.0,2,leclerc,1:48.917,hamilton,1:49.355,2.0,15.0
01:49.341,14.0,SOFT,17.0,False,1,1.0,17.5,False,56.8,29.2,2,leclerc,1:49.112,hamilton,1:49.234,2.0,15.0
01:53.829,15.0,SOFT,18.0,False,1,1.0,17.7,False,54.5,29.6,4,bottas,1:49.448,norris,1:50.120,2.0,15.0
02:02.264,16.0,MEDIUM,1.0,True,1,2.0,17.7,False,55.6,29.8,5,norris,1:50.272,grosjean,1:55.696,2.0,33.0
01:47.087,17.0,MEDIUM,2.0,True,1,2.0,17.6,False,55.6,28.7,4,bottas,1:49.228,norris,1:51.343,2.0,33.0
01:48.165,18.0,MEDIUM,3.0,True,1,2.0,17.5,False,56.3,28.2,4,bottas,1:49.575,norris,1:50.568,2.0,33.0
01:48.049,19.0,MEDIUM,4.0,True,1,2.0,17.8,False,56.1,28.3,4,bottas,1:49.270,norris,1:54.592,2.0,33.0
01:47.870,20.0,MEDIUM,5.0,True,1,2.0,17.8,False,55.4,28.3,4,bottas,1:49.133,kvyat,1:50.687,2.0,33.0
01:47.586,21.0,MEDIUM,6.0,True,1,2.0,17.7,False,55.7,28.8,4,bottas,1:49.209,norris,1:48.321,2.0,33.0
01:47.829,22.0,MEDIUM,7.0,True,1,2.0,17.9,False,55.0,29.3,3,bottas,1:49.511,leclerc,2:02.395,2.0,33.0
01:47.956,23.0,MEDIUM,8.0,True,1,2.0,18.0,False,54.6,29.9,1,kubica,1:52.304,bottas,1:53.827,2.0,33.0
01:48.238,24.0,MEDIUM,9.0,True,1,2.0,17.9,False,55.2,30.4,1,kubica,1:52.207,leclerc,1:47.162,2.0,33.0
01:48.349,25.0,MEDIUM,10.0,True,1,2.0,18.2,False,56.3,30.4,1,kubica,1:52.100,leclerc,1:47.382,2.0,33.0
01:48.691,26.0,MEDIUM,11.0,True,1,2.0,18.2,False,55.2,29.7,1,kevin_magnussen,2:03.526,leclerc,1:48.143,2.0,33.0
01:49.809,27.0,MEDIUM,12.0,True,1,2.0,17.7,False,56.1,28.8,2,leclerc,1:47.227,hamilton,1:46.674,2.0,33.0
01:47.922,28.0,MEDIUM,13.0,True,1,2.0,17.4,False,57.3,28.3,2,leclerc,1:47.008,hamilton,1:46.991,2.0,33.0
01:48.261,29.0,MEDIUM,14.0,True,1,2.0,17.4,False,57.2,28.4,2,leclerc,1:47.014,hamilton,1:48.251,2.0,33.0
01:48.067,30.0,MEDIUM,15.0,True,1,2.0,17.6,False,56.5,28.9,2,leclerc,1:47.301,hamilton,1:47.621,2.0,33.0
01:48.932,31.0,MEDIUM,16.0,True,1,2.0,17.7,False,56.7,29.4,2,leclerc,1:47.414,hamilton,1:48.497,2.0,33.0
01:49.831,32.0,MEDIUM,17.0,True,1,2.0,17.4,False,57.2,28.9,3,hamilton,1:47.117,bottas,1:47.661,2.0,33.0
01:53.728,33.0,MEDIUM,18.0,True,1,2.0,17.5,False,56.7,28.2,4,bottas,1:49.020,norris,1:49.380,2.0,44.0
02:02.166,34.0,SOFT,5.0,False,1,3.0,17.8,False,56.0,28.8,4,bottas,1:47.067,norris,1:49.216,2.0,44.0
01:47.890,35.0,SOFT,6.0,False,1,3.0,17.6,False,56.0,27.8,4,bottas,1:47.231,norris,1:48.918,2.0,44.0
01:46.409,36.0,SOFT,7.0,False,1,3.0,17.5,False,54.5,28.0,4,bottas,1:47.117,norris,1:49.431,2.0,44.0
01:46.730,37.0,SOFT,8.0,False,1,3.0,17.5,False,54.5,28.9,4,bottas,1:47.045,norris,1:49.462,2.0,44.0
01:46.570,38.0,SOFT,9.0,False,1,3.0,17.6,False,54.4,29.5,4,bottas,1:47.470,norris,1:49.459,2.0,44.0
01:46.767,39.0,SOFT,10.0,False,1,3.0,17.8,False,53.5,29.5,4,bottas,1:47.729,norris,1:49.348,2.0,44.0
01:47.462,40.0,SOFT,11.0,False,1,3.0,17.9,False,52.0,28.8,4,bottas,1:47.971,norris,1:49.808,2.0,44.0
01:47.070,41.0,SOFT,12.0,False,1,3.0,17.6,False,53.0,28.8,4,bottas,1:48.636,norris,1:49.352,2.0,44.0
01:46.785,42.0,SOFT,13.0,False,1,3.0,17.8,False,52.8,28.9,4,bottas,1:48.480,norris,1:49.161,2.0,44.0
01:49.008,43.0,SOFT,14.0,False,1,3.0,17.6,False,53.4,28.8,4,bottas,1:49.166,norris,1:53.274,2.0,44.0
01:52.487,44.0,SOFT,15.0,False,1,3.0,17.9,False,53.0,28.0,4,bottas,1:51.254,albon,1:51.568,2.0,44.0
0,1.0,MEDIUM,1.0,True,1,1.0,18.4,False,55.8,31.2,13,kvyat,2:00.948,giovinazzi,2:02.147,14.0,11.0
01:54.126,2.0,MEDIUM,2.0,True,1,1.0,18.2,False,54.5,31.5,13,kvyat,1:53.663,giovinazzi,1:54.022,14.0,11.0
01:52.223,3.0,MEDIUM,3.0,True,1,1.0,18.2,False,54.8,31.4,13,kvyat,1:52.273,giovinazzi,1:52.768,14.0,11.0
01:52.351,4.0,MEDIUM,4.0,True,1,1.0,18.1,False,55.5,30.4,13,kvyat,1:52.397,giovinazzi,1:52.378,14.0,11.0
01:52.485,5.0,MEDIUM,5.0,True,1,1.0,18.3,False,55.1,29.8,13,kvyat,1:52.621,giovinazzi,1:52.614,14.0,11.0
01:52.951,6.0,MEDIUM,6.0,True,1,1.0,18.4,False,54.2,30.2,13,kvyat,1:52.828,giovinazzi,1:52.791,14.0,11.0
01:52.409,7.0,MEDIUM,7.0,True,1,1.0,18.3,False,54.1,29.7,13,leclerc,1:53.234,giovinazzi,1:52.711,14.0,11.0
01:52.040,8.0,MEDIUM,8.0,True,1,1.0,18.3,False,54.4,29.2,13,leclerc,1:51.775,giovinazzi,1:52.328,14.0,11.0
01:52.245,9.0,MEDIUM,9.0,True,1,1.0,19.1,False,52.2,30.5,13,leclerc,1:52.096,giovinazzi,1:51.793,14.0,11.0
01:59.218,10.0,MEDIUM,10.0,True,24,1.0,19.0,False,52.8,30.9,12,kvyat,1:58.144,leclerc,2:01.597,14.0,11.0
0,11.0,MEDIUM,11.0,True,4,1.0,18.9,False,54.6,31.3,12,kvyat,2:35.082,raikkonen,2:40.914,14.0,44.0
0,12.0,HARD,1.0,True,4,2.0,19.0,False,54.0,31.4,12,kvyat,2:48.081,raikkonen,2:34.873,14.0,44.0
0,13.0,HARD,2.0,True,4,2.0,19.3,False,53.7,31.9,12,kvyat,2:58.998,raikkonen,2:58.234,14.0,44.0
