LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Humidity,Rainfall,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
01:09.702,43,SOFT,16.0,True,1,2.0,23.1,35.8,False,45.0,9,kevin_magnussen,1:09.270,brendon_hartley,1:09.381,16.0,70
01:09.366,44,SOFT,17.0,True,1,2.0,22.5,36.8,False,45.5,9,kevin_magnussen,1:09.454,brendon_hartley,1:09.323,16.0,70
01:09.578,45,SOFT,18.0,True,1,2.0,22.7,36.5,False,45.0,9,kevin_magnussen,1:09.475,brendon_hartley,1:09.433,16.0,70
01:09.424,46,SOFT,19.0,True,1,2.0,22.7,36.6,False,45.1,9,kevin_magnussen,1:09.095,leclerc,1:09.442,16.0,70
01:09.574,47,SOFT,20.0,True,1,2.0,22.6,37.3,False,45.2,9,kevin_magnussen,1:09.547,leclerc,1:09.594,16.0,70
01:11.301,48,SOFT,21.0,True,1,2.0,22.7,37.3,False,45.2,9,ocon,1:10.637,leclerc,1:09.446,16.0,70
01:09.150,49,SOFT,22.0,True,1,2.0,23.0,35.7,False,45.2,9,ocon,1:09.828,leclerc,1:09.341,16.0,70
01:08.939,50,SOFT,23.0,True,1,2.0,23.4,36.1,False,44.8,9,ocon,1:09.730,leclerc,1:09.377,16.0,70
01:08.903,51,SOFT,24.0,True,1,2.0,23.4,35.6,False,45.1,9,ocon,1:09.817,leclerc,1:09.488,16.0,70
01:09.256,52,SOFT,25.0,True,1,2.0,23.1,36.1,False,45.2,9,ocon,1:10.963,leclerc,1:09.592,16.0,70
01:11.806,53,SOFT,26.0,True,2,2.0,23.3,36.5,False,45.2,9,ocon,1:09.904,leclerc,1:09.240,16.0,70
01:09.729,54,SOFT,27.0,True,2,2.0,23.8,36.3,False,45.3,8,ocon,1:10.073,alonso,1:09.360,16.0,70
01:09.018,55,SOFT,28.0,True,2,2.0,24.2,34.7,False,45.4,8,ocon,1:11.881,alonso,1:09.056,16.0,70
01:08.906,56,SOFT,29.0,True,2,2.0,24.0,34.4,False,44.8,8,ocon,1:10.044,alonso,1:09.237,16.0,70
01:08.618,57,SOFT,30.0,True,1,2.0,23.9,35.4,False,44.8,8,ocon,1:09.223,alonso,1:10.086,16.0,70
01:08.829,58,SOFT,31.0,True,1,2.0,23.9,35.3,False,44.9,8,ocon,1:09.317,alonso,1:09.200,16.0,70
01:09.119,59,SOFT,32.0,True,1,2.0,24.0,35.5,False,45.0,8,ocon,1:09.425,alonso,1:09.009,16.0,70
01:08.590,60,SOFT,33.0,True,1,2.0,24.2,35.0,False,44.9,7,kevin_magnussen,1:09.360,leclerc,1:09.464,16.0,70
01:08.845,61,SOFT,34.0,True,1,2.0,24.1,35.6,False,44.8,7,kevin_magnussen,1:08.813,alonso,1:09.044,16.0,70
01:08.623,62,SOFT,35.0,True,2,2.0,23.8,34.9,False,44.8,7,kevin_magnussen,1:08.802,alonso,1:10.194,16.0,70
01:08.758,63,SOFT,36.0,True,2,2.0,23.3,37.4,False,44.6,6,kevin_magnussen,1:09.052,alonso,1:10.880,16.0,70
01:08.547,64,SOFT,37.0,True,2,2.0,23.5,37.6,False,44.6,6,kevin_magnussen,1:08.627,gasly,1:11.017,16.0,70
01:08.583,65,SOFT,38.0,True,1,2.0,23.6,38.5,False,44.5,6,kevin_magnussen,1:08.560,leclerc,1:09.510,16.0,70
01:08.504,66,SOFT,39.0,True,1,2.0,23.6,39.8,False,44.4,6,kevin_magnussen,1:08.537,leclerc,1:09.151,16.0,70
01:08.992,67,SOFT,40.0,True,1,2.0,23.8,39.8,False,44.6,6,kevin_magnussen,1:08.538,ericsson,1:08.216,16.0,70
01:09.017,68,SOFT,41.0,True,1,2.0,24.1,38.2,False,44.9,6,kevin_magnussen,1:08.566,ericsson,1:08.512,16.0,70
01:09.666,69,SOFT,42.0,True,1,2.0,24.0,36.3,False,44.9,6,kevin_magnussen,1:08.613,ericsson,1:08.654,16.0,70
01:17.214,70,SOFT,43.0,True,1,2.0,23.6,37.4,False,44.6,7,ocon,1:10.205,ericsson,1:12.861,16.0,70
