LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
01:24.610,42.0,SOFT,7.0,True,1,2.0,30.1,False,55.3,47.9,12,albon,1:24.393,raikkonen,1:25.333,13.0,65.0
01:24.493,43.0,SOFT,8.0,True,1,2.0,30.0,False,56.3,48.2,12,gasly,1:42.245,raikkonen,1:25.342,13.0,65.0
01:23.990,44.0,SOFT,9.0,True,1,2.0,29.8,False,56.8,46.3,12,gasly,1:22.543,kevin_magnussen,1:25.383,13.0,65.0
01:24.263,45.0,SOFT,10.0,True,1,2.0,29.7,False,57.3,46.3,12,norris,1:41.429,kevin_magnussen,1:24.010,13.0,65.0
01:23.446,46.0,SOFT,11.0,True,1,2.0,29.7,False,56.8,47.1,11,norris,1:23.404,kvyat,1:41.148,13.0,65.0
01:23.625,47.0,SOFT,12.0,True,1,2.0,29.5,False,57.2,46.6,11,norris,1:23.401,kvyat,1:22.336,13.0,65.0
01:23.025,48.0,SOFT,13.0,True,1,2.0,28.7,False,59.7,44.0,11,norris,1:23.417,kvyat,1:22.476,13.0,65.0
01:22.976,49.0,SOFT,14.0,True,1,2.0,28.7,False,60.2,43.2,11,norris,1:23.232,kvyat,1:22.977,13.0,65.0
01:22.843,50.0,SOFT,15.0,True,1,2.0,28.8,False,59.6,42.8,11,norris,1:23.979,kvyat,1:23.435,13.0,65.0
01:22.464,51.0,SOFT,16.0,True,1,2.0,28.7,False,60.2,43.0,11,norris,1:22.894,kvyat,1:23.896,13.0,65.0
01:24.511,52.0,SOFT,17.0,True,1,2.0,28.8,False,59.9,42.9,11,norris,1:23.175,kvyat,1:22.879,13.0,65.0
01:22.515,53.0,SOFT,18.0,True,1,2.0,29.1,False,58.9,44.7,11,norris,1:23.131,kvyat,1:22.740,13.0,65.0
01:22.595,54.0,SOFT,19.0,True,1,2.0,29.4,False,58.1,45.1,11,norris,1:22.682,kvyat,1:23.042,13.0,65.0
01:22.816,55.0,SOFT,20.0,True,1,2.0,29.5,False,57.6,46.1,11,norris,1:24.977,kvyat,1:24.640,13.0,65.0
01:22.795,56.0,SOFT,21.0,True,1,2.0,29.9,False,57.2,46.1,11,norris,1:22.392,kvyat,1:22.644,13.0,65.0
01:24.810,57.0,SOFT,22.0,True,1,2.0,30.0,False,56.9,47.2,11,norris,1:23.203,kvyat,1:22.993,13.0,65.0
01:22.760,58.0,SOFT,23.0,True,1,2.0,30.1,False,57.2,47.8,11,norris,1:23.529,kvyat,1:22.823,13.0,65.0
01:22.944,59.0,SOFT,24.0,True,1,2.0,30.2,False,57.1,47.6,11,norris,1:24.952,kvyat,1:22.815,13.0,65.0
01:22.861,60.0,SOFT,25.0,True,1,2.0,30.1,False,57.1,47.6,11,norris,1:23.014,kvyat,1:22.873,13.0,65.0
