LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Humidity,Rainfall,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,1,SOFT,4.0,False,2,1,26.5,35.5,False,51.5,4,norris,1:14.772,bottas,1:16.145,4.0,26
01:11.136,2,SOFT,5.0,False,1,1,26.7,34.7,False,52.5,4,norris,1:11.113,bottas,1:11.634,4.0,26
01:10.891,3,SOFT,6.0,False,1,1,26.6,34.4,False,52.3,4,norris,1:10.768,bottas,1:11.394,4.0,26
01:10.517,4,SOFT,7.0,False,1,1,26.6,34.4,False,51.8,4,norris,1:10.731,bottas,1:10.555,4.0,26
01:10.836,5,SOFT,8.0,False,1,1,26.6,32.3,False,52.2,4,norris,1:10.642,bottas,1:10.541,4.0,26
01:10.817,6,SOFT,9.0,False,1,1,26.5,33.3,False,52.5,4,norris,1:10.971,bottas,1:10.935,4.0,26
01:10.913,7,SOFT,10.0,False,1,1,26.5,33.5,False,52.2,4,norris,1:10.987,bottas,1:11.229,4.0,26
01:11.295,8,SOFT,11.0,False,1,1,26.6,32.7,False,52.3,4,norris,1:11.203,bottas,1:10.883,4.0,26
01:11.141,9,SOFT,12.0,False,1,1,26.7,33.6,False,52.3,4,norris,1:11.146,bottas,1:10.981,4.0,26
01:10.776,10,SOFT,13.0,False,1,1,26.7,32.8,False,53.1,3,hamilton,1:09.752,norris,1:12.782,4.0,26
01:10.726,11,SOFT,14.0,False,1,1,26.9,31.5,False,53.2,3,hamilton,1:10.079,bottas,1:11.214,4.0,26
01:10.271,12,SOFT,15.0,False,1,1,27.0,31.7,False,53.2,3,hamilton,1:09.795,bottas,1:10.924,4.0,26
01:10.063,13,SOFT,16.0,False,1,1,27.1,30.8,False,53.7,3,hamilton,1:09.695,bottas,1:10.632,4.0,26
01:10.234,14,SOFT,17.0,False,1,1,26.9,31.7,False,53.7,3,hamilton,1:09.693,bottas,1:10.122,4.0,26
01:10.063,15,SOFT,18.0,False,1,1,26.8,32.6,False,53.4,3,hamilton,1:10.079,bottas,1:10.066,4.0,26
01:10.249,16,SOFT,19.0,False,1,1,27.1,32.0,False,53.9,3,hamilton,1:09.938,bottas,1:10.163,4.0,26
01:10.229,17,SOFT,20.0,False,1,1,27.1,32.0,False,54.4,3,hamilton,1:09.892,bottas,1:10.371,4.0,26
01:10.207,18,SOFT,21.0,False,1,1,27.3,31.3,False,54.4,3,hamilton,1:10.212,bottas,1:10.319,4.0,26
01:10.349,19,SOFT,22.0,False,1,1,27.2,31.5,False,54.2,3,hamilton,1:10.267,bottas,1:10.372,4.0,26
01:10.454,20,SOFT,23.0,False,1,1,27.1,32.1,False,54.4,3,hamilton,1:09.866,bottas,1:10.192,4.0,26
01:10.355,21,SOFT,24.0,False,1,1,27.0,31.8,False,54.3,3,hamilton,1:09.613,bottas,1:09.921,4.0,26
01:10.218,22,SOFT,25.0,False,1,1,26.8,32.3,False,53.8,3,hamilton,1:09.877,bottas,1:09.846,4.0,26
01:10.179,23,SOFT,26.0,False,1,1,26.5,32.6,False,53.5,3,hamilton,1:09.767,bottas,1:10.362,4.0,26
01:10.598,24,SOFT,27.0,False,1,1,26.6,32.2,False,54.1,3,hamilton,1:09.904,bottas,1:10.270,4.0,26
01:10.804,25,SOFT,28.0,False,1,1,26.4,32.1,False,54.1,3,hamilton,1:10.594,bottas,1:10.199,4.0,26
01:15.077,26,SOFT,29.0,False,1,1,26.7,30.9,False,54.2,4,bottas,1:10.561,norris,1:10.933,4.0,26
01:28.279,27,HARD,1.0,True,1,2,27.0,30.7,False,53.5,5,norris,1:10.865,stroll,1:11.505,4.0,54
01:09.651,28,HARD,2.0,True,1,2,27.0,31.3,False,53.2,5,bottas,1:26.779,sainz,1:10.609,4.0,54
01:09.602,29,HARD,3.0,True,1,2,27.1,32.0,False,53.2,5,bottas,1:09.071,sainz,1:10.080,4.0,54
01:09.619,30,HARD,4.0,True,1,2,27.1,32.0,False,53.7,5,bottas,1:09.363,sainz,1:09.977,4.0,54
01:09.667,31,HARD,5.0,True,1,2,27.2,32.0,False,53.9,4,bottas,1:09.237,norris,1:14.670,4.0,54
01:09.197,32,HARD,6.0,True,1,2,27.2,31.1,False,53.9,4,bottas,1:09.277,sainz,1:09.716,4.0,54
01:09.593,33,HARD,7.0,True,1,2,27.2,31.0,False,53.1,4,bottas,1:08.782,sainz,1:09.911,4.0,54
